y2012,y2013,y2014,y2015,y2017,Alg1,Geom,Alg2,Alg2Proj
752.8832968,50.44978244,50.25248235,49.94361507,50.52802641,307.4497824,312.3440577,303,305.285
752,62,68,34,72,331,,326,320.5
747,58,46,51,50,315,,309,314.2
,74,64,71,79,356,,338,338.8
794,68,71,62,59,336,,325,326.3
789,71,64,68,67,329,,326,323.9
775,7481,68,62,344,336,,331,327.7
,830,75,69,99,402,,364,347.4
784,68,59,43,52,309,,318,309
794,71,88,91,85,346,334,350,336.8
794,74,68,65,72,342,324,329,325.3
740,53,42,48,53,304,,309,305.8
,788,66,46,82,346,,354,323.6
784,60,88,68,81,346,,334,335.5
840,77,,,,329,,328,323
,71,35,62,72,327,,318,314.6
765,62,81,62,65,338,318,329,317.9
900,77,71,68,62,332,,326,320.4
784,62,62,51,55,302,,310,308.5
749,47,52,62,57,309,,314,310
794,77,71,74,65,332,,331,322.7
749,45,68,49,46,325,,320,318.8
789,71,76,57,60,319,,328,318.3
